"GUID идентификатор элемента";"Название элемента";"Путь для раздела";"Адрес (youtube)";"Заголовок2-1";"Ссылка2-1";"Описание2-1";"Заголовок3-1";"Ссылка3-1";"Описание3-1";"Заголовок4-1";"Ссылка4-1";"Описание4-1";"Заголовок5-1";"Ссылка5-1";"Описание5-1";
"82DB1A4D-C1D0-9110-684B-F7CBEFED817C";"Как вырастить дерево из семени";"kak-vyrastit-derevo-iz-semeni";"moLs8SZBCUs";"Как вырастить дерево из семян? - Дачник садовод любитель";"null";"Как выяснилось, некоторые деревья выгоднее покупать не в питомнике, а выращивать самостоятельно из семян. У такого способа размножения есть ...";"Как вырастить дерево из косточки или семечка";"null";"Можно ли самому вырастить саженцы из косточек и семян или черенков этих растений? Выращивание деревьев и кустарников из косточек (семян), ...";"Как из семени вырастить апельсиновое дерево дома.";"null";"Как посадить и вырастить апельсиновое дерево дома. Уход и условия выращивания домашнего апельсинового дерева.";"Как посадить яблоню из семечка - YouTube";"null";"12 лют. 2015 - 5 хв - Автор відео bitard671 От семени до сеянца. - Duration: ... Как вырастить банан в домашних условиях из семян ... Размножение саженцев плодовых деревьев.";
"FED260D7-AFF6-F826-4E23-53DB8E957F6F";"Как вырастить раннюю рассаду";"kak-vyrastit-rannyuyu-rassadu";"_zmQodVzJhg";"Выращивание ранней капусты - YouTube";"null";"28 лип. 2014 - 7 хв - Автор відео Валерий Медведев Выращивание ранней капусты Мой сайт: http://svoitomaty.ru/ Эмайл ... приступаем садить рассаду и вот хотела спросить как ...";"выращивание сверх ранних тепличных томатов - YouTube";"null";"5 квіт. 2014 - 2 хв - Автор відео Игорь Строев Как растёт рассада сверх ранних томатов в нашей теплице. Приглашаю всех кто захочет научиться выращивать такую рассаду в гости ...";"Рассада капусты: 12 секретов выращивания";"null";"Именно от этого будут зависеть, в первую очередь, сроки посева капусты на рассаду. Одно дело, если вы хотите полакомиться ранней капустой в ...";"Как посадить и вырастить рассаду капусты в домашних условиях ...";"null";"9 окт 2014 ... Для высадки семян капусты для рассады рекомендуется почвенная смесь, ... Для выращивания рассады ранней капусты необходимо ...";
"C3F2296C-13C4-2B92-0C1E-AC6B3B83DD37";"Как подстричь фикус";"kak-podstrich-fikus";"https://www.youtube.com/watch?v=i0VsjoMo-bI&sa=U&ved=0ahUKEwij34C6tcPXAhXIIsAKHYZlCQsQtwIIFjAA&usg=AOvVaw3G6rpqsMpSCXkOsjcYB8Ka";"Обрезка фикуса Бенджамина - YouTube";"null";"8 лют. 2015 - 11 хв - Автор відео Усадьба Багиры Для получения красивого, пышного куста или деревца фикуса Бенджамина, следует проводить его регулярную обрезку. Чтобы быть ...";"Формировка из фикуса Бенджамина кустика. Как подстричь фикус";"null";"19 квіт. 2016 - 3 хв - Автор відео Газета Хозяйство Мне очень нравится выращивать фикусы Бенджамина по нескольким причинам. Во-первых, он очень быстро растет. Кустику на видео ...";"Зображення для запиту Как подстричь фикус";"null";"14 бер. 2015 - 8 хв - Автор відео Усадьба Багиры О санитарной обрезке фикуса Бенджамина я рассказывала в ролике https:// youtu.be/i0VsjoMo-bI. Но иногда нашим фикусам требуется ...";"Омолаживающая обрезка фикуса Бенджамина - YouTube";"null";"Формирование и обрезка фикуса: куст, штамб, бонсай, плетение стволов. ... Обрезку фикуса производят весной – для омоложения растения за счет ...";
"D3BC537D-1C9E-B572-908A-D409920B1248";"Как смягчить воду для полива";"kak-smyagchit-vodu-dlya-poliva";"CPSY7QnZnjo";"Как смягчить жесткую воду для полива цветов";"null";"10 способов как смягчить жесткую воду для полива цветов. Каждый имеет свои достоинства и недостатки.";"Как смягчить воду для полива » Интернет-газета Кумушка.com";"null";"7 дек 2009 ... В литературе по цветоводству часто указывают, что растения следует поливать мягкой водой. Как смягчить жёсткую воду? Лучше всего ...";"Вода для полива растений";"null";"Я поливаю растения водой из водопровода, но у нас вода для полива не такая ... Смягчить воду можно при помощи самых разнообразных бытовых ...";"Как смягчить воду для полива? - Конференции 7я.ру";"null";"11 янв 2012 ... Как вариант - щавелевая кислота. Я использую такой метод около полугода - все пока просто замечательно (тьфу-тьфу). Я не помню ...";
"9C939106-FC4E-3380-F6B6-42B10410A019";"Как сделать колесо телеги";"kak-sdelat-koleso-telegi";"YBHzjFs-vK4";"Зображення для запиту Как сделать колесо телеги";"null";"17 лип. 2016 - 2 хв - Автор відео Влад Самодельное деревянное колесо. Влад ... КОЛЕСО ОТ ТЕЛЕГИ КАК СВЕТИЛЬНИК СДЕЛАТЬ САМОМУ копия - Duration: 3:39. 4ennni ...";"Самодельное деревянное колесо - YouTube";"null";"29 чер. 2012 - 5 хв - Автор відео Vitasik116 Изготовление люстры-колесо телеги .... брать, три цепи будут смотреться лучше четырёх (это когда попросят такое же сделать).";"Изготовление люстры-колесо телеги - YouTube";"null";"5 трав. 2014 - 3 хв - Автор відео citihusband Простое изготовление деревянного колеса своими руками. мы на Facebook: https://www.facebook.com/talentsbe и в Вконтакте ...";"Простое колесо из дерева. - YouTube";"null";"30 січ. 2016 - 5 хв - Автор відео Alexei Shurkin Royce Reynolds 859 views · 8:20. КОЛЕСО ТЕЛЕГИ. Wooden wheel making. Handmade ...";
"E4BA2EA7-7E15-2A71-60EC-E527A72C96C9";"Как сажать картошку мотоблоком";"kak-sazhat-kartoshku-motoblokom";"https://www.youtube.com/watch?v=N4L9xzjYZFk&sa=U&ved=0ahUKEwjFv8n4tcPXAhXVFsAKHZ7IAZgQtwIIFjAA&usg=AOvVaw2tviksIfgYVgXsLs0wda2u";"Как посадить картошку мини мотоблоком без лопаты - YouTube";"null";"13 квіт. 2014 - 5 хв - Автор відео Александр Гуриненко У многих возникает куча вопросов: как посадить картошку без лопаты, под мотоблок, какое делать междурядие рядов (рядков), что бы ...";"как посадить картошку с помощью мотоблока - YouTube";"null";"18 бер. 2015 - 6 хв - Автор відео Ирина Васильева с помощью мотоблока Нева сажаем картошку, ... как посадить картошку с помощью мотоблока. Ирина Васильева. Loading... Unsubscribe ...";"Как сажать картошку мотоблоком - YouTube";"null";"31 трав. 2017 - 2 хв - Автор відео Амурский огород Простые советы о том, как сажать картошку мотоблоком. Мы расскажем вам в видео о способе посадки картофеля мотоблоком.";"Сажаем картошку под мотоблок Урал - YouTube";"null";"19 бер. 2016 - 3 хв - Автор відео Clever Tv сажать картошку мотоблоком довольно быстро и просто. мой канал https:// www.youtube.com/channel/UCU3hKZuYh7-f9suaBmZyQog ...";
"42C817E2-9A43-C87A-16F5-4C0178938750";"Как обрезать фаленопсис";"kak-obrezat-falenopsis";"https://www.youtube.com/watch?v=jh3C3N0rNm8&sa=U&ved=0ahUKEwiJi8eKtsPXAhXiJ8AKHcWyDbMQtwIIFjAA&usg=AOvVaw3TRF06tZNCvUtktd_NN-Q1";"КАК ОБРЕЗАТЬ ОРХИДЕЮ(ФАЛЕНОПСИС) ПОСЛЕ ЦВЕТЕНИЯ ...";"null";"12 січ. 2016 - 2 хв - Автор відео Елена Аникина В этом видео я наглядно покажу , как обрезать орхидею(фаленопсис) после цветения. С помощью правильной обрезки, Вы сможете ...";"ОБРЕЗКА ЦВЕТОНОСА ОРХИДЕИ. КАК И КОГДА ПРАВИЛЬНО ...";"null";"24 жов. 2016 - 3 хв - Автор відео oldenburg.ru ... ОРХИДЕИ. КАК И КОГДА ПРАВИЛЬНО ОБРЕЗАТЬ ЦВЕТОНОС ОРХИДЕИ. ПОСЛЕ ЦВЕТЕНИЯ ОБРЕЗКА ЦВЕТОНОСА ОРХИДЕИ. ... 2 ЧАСТЬ ...";"Хобби.Правила обрезки орхидеи после цветения. - YouTube";"null";"8 лют. 2015 - 2 хв - Автор відео mom hobby хобби мамы Хобби.Правила обрезки орхидеи после цветения. ... Фаленопсис уход в домашних условиях / уход за орхидеей после цветения / как ...";"Уход за орхидеей после цветения: нужно ли обрезать цветонос ...";"null";"Выращивание орхидеи в домашних условиях: надо ли обрезать после ... Чаще всего повторное цветение наблюдается у орхидеи фаленопсис. Тем не ...";
"4B8E3B24-7599-CAC4-C767-28A7216141AE";"Как избавиться от воробьев на участке";"kak-izbavitsya-ot-vorobev-na-uchastke";"https://www.youtube.com/watch?v=fTsPv6Y-pWU&sa=U&ved=0ahUKEwjTnY6ZtsPXAhWKLMAKHTjwD5AQtwIIFjAA&usg=AOvVaw1UYlOFvpnorXvyg0JreWHN";"Как избавиться от воробьев на участке и под крышей - Woman's ...";"null";"22 сен 2016 ... Из этой статьи вы узнаете, как избавиться от воробьев на участке. Несколько простых и доступных способов позволят вам сохранить ...";"Как избавиться от воробьев на участке?";"null";"Ответ мастера: Маленькие серо-коричневые пернатые не всегда приносят только пользу, избавляя садоводов от жуков, насекомых и разных других ...";"Как избавиться от воробьев - ГОРОДУ.net";"null";"16 май 2017 ... Как избавиться от воробьев на садовом участке и под крышей строений.";"Как избавиться от воробьев на участке отпугиватель воробьев ...";"null";"Воробьи на участке могут, как радовать дачников, так и создавать им дополнительные проблемы. Это зависит от периода жизни этих птиц.";
"9F9B36F4-C29D-B69E-4642-5C7BBB13967A";"Как вырастить виноград на даче";"kak-vyrastit-vinograd-na-dache";"https://www.youtube.com/watch?v=rx_PfGVbe1k&sa=U&ved=0ahUKEwiC7LzAtsPXAhVjIMAKHahtAk4QtwIIFjAA&usg=AOvVaw1i0-drqgF9h9-aEsa4n_bl";"Как вырастить виноград на даче? Советы профессионалов";"null";"Виноград на даче может выращиваться почти на всей территории России. Сегодня есть ... Люди научились выращивать виноград в глубокой древности.";"Виноград на даче: выращивание и уход / Сад / Мои дачи";"null";"11 сен 2014 ... Поэтому практически каждый владелец дачи может вырастить эти сочные ягоды своими руками. Сад: Виноград на даче: выращивание ...";"Виноград на даче в Подмосковье. Виктор Шишкин. Саженцы ...";"null";"26 сер. 2014 - 4 хв - Автор відео Виктор Шишкин Саженцы винограда. Выращивание винограда. ... Виноград на даче в Подмосковье. Виктор Шишкин. Саженцы винограда. .... Технология ...";"Виноград на даче. Формировка винограда. - YouTube";"null";"12 трав. 2012 - 10 хв - Автор відео praktik48 Просмотреть пост полностью можно на моём блоге - http://dacha21veka.ru В ролике показан сорт "Август". Формировка - вертикальный ...";
"2BE119C4-C367-7DBF-D4B7-B3FAB21AC86A";"Как построить оранжерею";"kak-postroit-oranzhereyu";"znxSkY59n9s";"Как сделать оранжерею | Строительный портал - strport.ru";"null";"Даже самая маленькая оранжерея является не только местом отдыха, где можно насладиться красотой природы, но и гордостью любого хозяина, в той  ...";"Как построить оранжерею - Своими руками - Как сделать самому";"null";"7 янв 2010 ... Как построить оранжерею. Содержание ✓. ✓ Каркасные конструкции; ✓ Крыша и фундамент; ✓ Свет и тепло; ✓ Ассортимент растений ...";"Зображення для запиту Как построить оранжерею";"null";"Оранжерея в частном доме – идея хорошая, но как сделать оранжерею? Конечно, хочется не обычную теплицу, а хотя бы в виде шести- или ...";"Как сделать оранжерею - Сад";"null";"В загородном доме можно построить большую оранжерею, но если начинать с более скромных объемов, то пусть это будет лоджия городской ...";
"ACF38096-A578-289A-BB6A-08F167243287";"Как формировать томаты";"kak-formirovat-tomaty";"yePSZQChfIs";"Как формировать томаты в теплице. Как пасынковать томаты ...";"null";"11 чер. 2015 - 5 хв - Автор відео Сад и огород. Видео инструкции от ЦПСО России В этом ролике вы узнаете, как правильно формировать детерминантные томаты, а как индетерминантные. Особенности ...";"Формирование томатов в 1 - 2 - 3 стебля + Пасынкование ...";"null";"29 чер. 2014 - 5 хв - Автор відео 12sotok Видео о том, какие типы томатов как формировать (или не формировать). Варианты формирования в один, два или три стебля.";"Формирование кустов томата в теплице - YouTube";"null";"30 чер. 2014 - 6 хв - Автор відео "Газета садовод" Как правильно формировать кусты индетерминантных, полудетерминантных и детерминантных сортов и гибридов томата.";"Формирование томатов открытого грунта - YouTube";"null";"1 лип. 2013 - 7 хв - Автор відео Валерий Медведев Подробнее в моей статье: http://svoitomaty.ru/uxod-i-formirovanie-tomatov- otkrytogo-grunta Наконец пришло ...";
"7810A032-C81F-465A-EAE6-96898120CE53";"Как пересадить кедр";"kak-peresadit-kedr";"https://www.youtube.com/watch?v=2tcCaVXMiOA&sa=U&ved=0ahUKEwj2goz6tsPXAhWjJMAKHfDoAvwQtwIIFjAA&usg=AOvVaw3qK_KgVCouykXrQg7KM7du";"Пересадка кедра на новое место: советы и видео";"null";"Рассмотрим особенности пересадки кедра на новое место и в чем заключается особенности этой процедуры.";"Пересадка кедра - Indasad.ru";"null";"Пересадка кедра. Кедр – вечнозелёное хвойное дерево, которое может жить до 500 лет; в высоту достигает 45 метров, в диаметре – 180 см.";"Ответы@Mail.Ru: пересадка кедра, когда и какие нюансы ...";"null";"Кедр может расти на любой почве за исключением чистой песчаной и глинистой. Место для кедра выбирают открытое, хотя он может ...";"Можно ли пересадить кедр, через год после пересадки? | Форум: сад ...";"null";"Поэтому надо пересадить кедр, но это дерево очень трудно переносит пересадку, да ещё тем более прошёл лишь год после пересадки ...";
"0D275D55-ED82-5D53-2E29-1CE611CC3B8C";"Как хранить тюльпаны зимой";"kak-hranit-tyulpany-zimoy";"b715BpbRdmY";"Как хранить луковицы тюльпанов / Цветы и клумбы / Мои дачи";"null";"";"Как хранить луковицы тюльпанов - Orchardo.ru";"null";"Даже если вы в теории знаете, как сохранить луковицы тюльпанов зимой, в действительности малейшее нарушение условий хранения может оставить  ...";"Как сохранить луковицы тюльпанов до весны в домашних условиях";"null";"Если посадочный материал тюльпанов не был высажен в грунт осенью или его приобрели зимой, то необходимо решать, как сохранить луковицы ...";"Хранение луковиц тюльпанов до осени, весны. Как сохранить ...";"null";"Чтобы тюльпаны лучше размножались и были здоровыми и красивыми, ... Как правильно хранить луковицы тюльпанов, чтобы они долежали до ...";
"79FD90A8-0FD3-C321-EF4B-C7181E46E9C3";"Как пикировать астры";"kak-pikirovat-astry";"https://www.youtube.com/watch?v=L5wEoLAT8cs&sa=U&ved=0ahUKEwiridClt8PXAhVqAcAKHdjPCI4QtwIIFjAA&usg=AOvVaw1Dw2e-zwR-p6u6-iWnsxQH";"Пикировка астры - YouTube";"null";"23 квіт. 2016 - 7 хв - Автор відео В моём саду Для лучшего развития сеянцы астры нужно рассадить .";"Рассаживаем Астру(пикировка) в др.контейнер (29.03.16 ...";"null";"30 бер. 2016 - 6 хв - Автор відео Цветы овощи и фрукты Моя партнерка AIR, помогающая раскрутить канал:http://join.air.io/ PashkovaNataliya Рассаживаем Астру(пикировка) в др ...";"Как Пикировать Астры - YouTube";"null";"22 бер. 2017 - 11 хв - Автор відео О Самом Интересном Пикировка рассады Астр из торфяных таблеток.";"АСТРЫ.ПИКИРОВКА РАССАДЫ - YouTube";"null";"5 трав. 2017 - 3 хв - Автор відео Чудо - Огород Коротко и ясно ПИКИРОВКА РАССАДЫ АСТРЫ.ПО СХЕМЕ 4 см на 4 см ДЛЯ ХОРОШЕГО РОСТА САЖЕНЦЕВ..ЖЕЛАЮ ВСЕМ УДАЧИ.";
"315EAC23-21C9-26A1-3646-83F9899EC4CB";"Как хранить хризантемы";"kak-hranit-hrizantemy";"JUVaqsIsU4A";"Как хранить хризантемы в подвале? - Подвал и погреб";"null";"Правильное хранение хризантем в подвале станет залогом их ... Хризантемы относятся к тем цветам, которые могут расти на вашем участке многие ...";"Хризантемы зимой: как сохранить? | ЗАГОРОДНАЯ ЖИЗНЬ ...";"null";"26 авг 2014 ... Выкапывать или укрывать хризантемы на зиму? ... Насколько успешно вы сможете сохранить хризантемы зимой в саду, зависит от ...";"Как сохранить хризантемы в вазе подольше - HowToGetRid";"null";"Хризантемы по праву считаются уникальными растениями, которые способны разбавить интерьер и поднять настроение. Помимо необычайной  ...";"Как сохранить хризантемы зимой? Уход за хризантемой ...";"null";"27 вер. 2016 - 4 хв - Автор відео Урожайные Грядки Хризантемы достаточно зимостойкие, но у них есть слабые места. Если неправильно укрыть хризантемы, на них будет мало снежного ...";
"A482137A-181B-D4DC-A976-B032F428704B";"Как вырастить липу";"kak-vyrastit-lipu";"WfDybRiLMn4";"Липа: от семени до взрослого дерева - Ваш Сад";"null";"5 авг 2012 ... Однако, вырастить дерево из семечка не так то просто – нужно знать некоторые секреты. ... Как вырастить липу в домашних условиях.";"Когда и как размножается липа?";"null";"21 авг 2012 ... Ни с чем несравнимый нежный, сладкий аромат цветущей липы ... использовать для пересадки и выращивания молодых деревьев.";"Как самим вырастить липу и березу - Сад";"null";"Здравствуйте. Расскажите, как вырастить саженцы березы и липы. К этим деревьям я испытываю особую любовь. В магазинах г. Ростова-на-Дону не ...";"Выращивание липы из семян - Indasad.ru";"null";"Один из способов получить это замечательное дерево – вырастить его из семян. В природе опавшие осенью семена липы подвергаются длительному  ...";
"1C61951D-71BC-9114-E3E2-F0826589BD56";"Как посадить черную смородину";"kak-posadit-chernuyu-smorodinu";"OAVJyKcVR6U";"Как посадить смородину пошаговая инструкция";"null";"Для человеческого организма черная смородина – настоящий природный клад витаминов, органических кислот и микроэлементов. Ягоды полезны при  ...";"Когда и как садить смородину? - ОгородСадовод.ком";"null";"А когда и как сажать смородину, чтобы получить здоровые кустарники, ... Кстати, обрезанные ветки смородины можно посадить во влажную почву, где они с легкостью укоренятся. .... Есть у меня, и красная, и чёрная, и белая.";"Как посадить черную смородину. Дед научил. - YouTube";"null";"30 бер. 2014 - 2 хв - Автор відео Олег Карп Дедовский метод посадки черной смородины, проверен годами.применяйте не пожалеете. Горящие Товары на Алиэкспресс ...";"Посадка черной смородины - YouTube";"null";"9 трав. 2014 - 9 хв - Автор відео "Газета садовод" Когда и как правильно посадить черную смородину с открытой и закрытой корневой системой.";
