GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
"4E3DE491-6D8F-59D3-F2FD-D7FDB79685EF";"Как лечить загиб желчного пузыря";;"PSMsUwlWPn8";"Перегиб или загиб желчного пузыря: причины, лечение ...";"http://pechen1.ru/gepatit/peregib-zhelchnogo-puzyrya-lechenie.html";"Лечение перегиба желчного пузыря, начатое своевременно, поможет пациенту избежать оперативного вмешательства и риска возникновения ...";"Лечение перегиба желчного пузыря | Блог Ирины Зайцевой";"https://irinazaytseva.ru/lechenie-peregiba-zhelchnogo-puzyrya.html";"5 май 2013 ... В данной беседе поговорим о лечении приобретённой формы перегиба желчного пузыря, как наиболее часто встречающейся у ...";"Диета при загибе желчного пузыря - Food-Tips.Ru";"http://food-tips.ru/00010562-dieta-pri-zagibe-zhelchnogo-puzyrya/";"Загиб – распространенный дефект желчного пузыря. ... Рассмотрим роль диетотерапии в лечении и повседневной жизни этих пациентов."
"6E53A56B-84BA-54D7-6B53-2181BB40C75F";"Как пить брусничный лист";;"FidUuzK0dMA";"Брусничный лист: полезные свойства и противопоказания";"https://herbalpedia.ru/articles/brusnichnyj-list/";"14 фев 2016 ... Полезные свойства и противопоказания брусничного листа. Как заваривать и пить брусничный лист. Рецепты приготовления ...";"Брусничный лист: полезные свойства и ... - Легкополезно";"https://legkopolezno.ru/zozh/pitanie/brusnichnyj-list-poleznye-svojstva-i-protivopokazaniya/";"О полезных свойствах и противопоказаниях брусничного листа расскажет ... Отвар листа рекомендуют пить курсом при болезнях почек, мочевого и ...";"Листья брусники - лечебные свойства и противопоказания ...";"http://lechilka.com/listya-brusniki.html";"Медики рекомендуют принимать препараты из брусничного листа при лечении мочекаменной ..."
"FCDC0CDC-4A51-90F7-C8FF-4E4F4114930C";"Как принимать боровую матку при миоме";;"GfqJ7bQBqs4";"Боровая матка при миоме: отзывы врачей, лечение - PoMiome.ru";"https://pomiome.ru/mioma/borovaya-matka-pri-miome";"Как принимать боровую матку при миоме? Существуют ли противопоказания ? Что говорят отзывы пациенток? Ответы на эти и другие вопросы мы ...";"Боровая матка при миоме - отзывы врачей, как принимать ...";"http://fupiday.com/borovaya-matka-pri-miome.html";"Узнайте подробности, как помогает боровая матка при миоме: отзывы врачей и людей, советы, рецепты и рекомендации, как принимать (пить) боровую ...";"Боровая матка при миоме - Lechilka.com";"http://lechilka.com/borovaya-matka-pri-miome.html";"Боровая матка при миоме принимается в виде настоек, настоев и отваров, также нередко трава используется в качестве сырья для приготовления ..."
"F8D75BC8-A33E-B954-9DD7-EC24A47BC07C";"Как лечить нарыв на ноге";;"KBzCzgI8spM";"Нарыв на ноге. Лечение - Nmedicine.net";"https://nmedicine.net/naryv-na-noge-lechenie/";"20 авг 2014 ... Такой нарыв может возникнуть в любом месте, в том числе и на ноге. И лечение нарыва нужно проводить незамедлительно, сразу же ...";"Как Вылечить Нарыв На Ноге - Как Вылечить Ноги";"http://zdorovey-nogam.ru/kak-lechit-narv-na-noge/";"21 янв 2014 ... Как вылечить нарыв на ноге? Главное: лечение следует начинать сразу после того, как появился очаг воспаления, чтобы в дальнейшем ...";"Нарыв на ноге: чем лечить? - Моя Кожа";"http://moyakoja.ru/bakterialnye-bolezni/drugie-bb/naryv-na-noge-chem-lechit.html";"Нарыв на ноге может быть фурункулом или карбункулом, панарицием или абсцессом ... Как проходит лечение нарыва на пальце ноги и что делать при  ..."
"CD7CC589-C3F5-D115-2ED0-F7648196BEF6";"Как укрепить стенки кровеносных сосудов";;"GjUBB8t0a2E";"Как укрепить стенки сосудов с помощью лекарств и витаминов";"https://36i7.com/profilaktika-zabolevaniy/kak-ukrepit-stenki-sosudov-s-pomoshhyu-lekarstv-i-vitaminov.html";"14 июл 2014 ... Как укрепить стенки сосудов Кровеносные сосуды – это каналы по всему организму, которые представляют замкнутую систему.";"Как укрепить сосуды и их стенки (таблетки, народные средства ...";"http://serdec.ru/lechenie/effektivnye-sredstva-ukrepleniya-sosudov";"Укрепление сосудистых стенок с помощью медикаментов и народных средств. ... Укрепляют кровеносные сосуды и снижают холестерин бобовые  ...";"Как укрепить сосуды и капилляры: головного мозга, сердца и ног";"http://prososud.ru/profilaktika/kak-ukrepit.html";"Наша "ахиллесова пята" - кровеносные сосуды. Малейший сбой ... Чтобы укрепить стенки и повысить их эластичность, рекомендуются такие средства: ."
"6B6BAAB9-8EED-7629-4BCE-B22693ABB8C6";"Как снизить почечное давление";;"oaBFRxnx1mo";"Почечное давление: как снизить в домашних условиях?";"http://popochkam.ru/raznoe/pochechnoe-davlenie-kak-snizit.html";"10 мар 2015 ... Многие знают, что такое почечное давление, но как снизить его, не все в курсе. Довольно часто недуг развивается скрытно, незаметно, ...";"Как снизить почечное давление? Симптомы и причины";"http://odavlenii.ru/gipertoniya/kak-snizit-pochechnoe-davlenie.html";"Чтобы понять, как можно повлиять на течение почечной гипертензии и снизить почечное давление, необходимо разобраться с некоторыми понятиями.";"Нефролог Оксана Коршевнюк: «Повышенное давление может ...";"http://fakty.ua/153824-nefrolog-oksana-korshevnyuk-povyshennoe-davlenie-mozhet-privesti-k-hronicheskoj-pochechnoj-nedostatochnosti";"6 окт 2012 ... Нередко о своем повышенном давлении человек узнает лишь ... Почечное давление одним видом лекарства снизить вряд ли удастся."
"ABFCFD03-CB65-045B-901D-AB209DE053F6";"Что делать, если шатаются зубы";;"U6n247eN3Jc";"Что делать, если шатается передний зуб, как укрепить ... - SKzub.ru";"https://skzub.ru/parodontoz/chto-delat-esli-shataetsya-perednij-zub-kak-ukrepit-ego.html";"9 июл 2017 ... Если шатается передний зуб, как укрепить его, что можно сделать в домашних условиях? Какие причины вызывают это неприятное ...";"Как укрепить шатающийся зуб в домашних условиях";"https://healthy-teeth.su/kak-ukrepit-shatayushhijsya-zub-v-domashnix-usloviyax.html";"Если присутствует неправильный прикус или зубы шатаются уже давно, ...";"Что делать, если шатается зуб: причины расшатывания и ...";"https://www.32top.ru/stat/2266/";"Если у пациента шатается зуб, что делать для решения данной проблемы? Первым делом стоит, не откладывая, посетить квалифицированного ..."
"89EF8C38-2145-5271-4DD3-5D71FD070C3C";"Как снять отек с глаза от удара";;"LHIZ34-RMBg";"Как снять отек с глаза от удара - Блог о здоровье и ЗОЖ";"http://magia-zdorovia.ru/novosti/news_post/kak-snyat-otek-s-glaza-ot-udara";"15 авг 2014 ... Поэтому в таких ситуациях нужно срочно воспользоваться рекомендациями, как снять отек с глаза от удара. Прежде всего приготовьте:";"Как снять отек после удара в глаз - Советчица Кидстафф";"https://sovet.kidstaff.com.ua/question-6472";"Как снять отек после удара в глаз. СЕгодня ночью получила в глаз от собственного ребенка))). так протестовал, не хотел садиться на ...";"Как снять отек с глаза после удара, что делать, если орган ...";"https://linza.guru/travmi/kak-snyat-otek/";"Под глазами часто образуются отёки после ударов. Можно ли их быстро снять, что делать, если заплыл или опух орган зрения от ушиба? И как убрать ..."
"5293890A-C874-7312-228E-46197BD4CDC3";"Как употреблять пивные дрожжи";;"gIJph1t0fGg";"Пивные дрожжи - инструкция по применению, цена на Пивные ...";"http://www.likar.info/lekarstva/Pivnye-drozhzhi/";"Соблюдения рекомендуемых доз исключает возникновение побочных эффектов. При чрезмерном употреблении препарата Пивные дрожжи, могут  ...";"Пивные дрожжи: польза и вред, состав, противопоказания ...";"https://mamapedia.com.ua/health/polza-ili-vred/pivnye-drozhzhi.html";"Чем полезны пивных дрожжи для здоровья. Как употреблять пивные дрожжи ? Польза, вред и противопоказания пивных дрожжей.";"Как принимать пивные дрожжи для набора веса? - SilaDiet.ru";"http://siladiet.ru/krasota-i-zdorove/zdorovoe-pitanie/kak-prinimat-pivnye-drozhzhi-dlya-nabora-vesa.html";"Почему от пивных дрожжей можно поправиться, как правильно пить этот продукт, чтобы наладить обмен веществ, какие пивные дрожжи лучше?"
"11CD8871-A9F2-5E8A-1389-684CDDF644F3";"Как готовить перепелиные яйца";;"7JejO7b-BS8";"Как варить перепелиные яйца? Сколько их готовить по времени?";"http://otvetprost.com/427-kak-varit-perepelinye-yajca.html";"Как правильно варить перепелиные яйца вкрутую или всмятку? Из этих рецептов вы узнаете, сколько готовить яйца перепелов по времени и как ...";"Как и сколько варить перепелиные яйца | InfoEda.com";"https://infoeda.com/kak-i-skolko-varit-perepelinye-yajca.html";"Как правильно варить перепелиные яйца (вкрутую, всмятку) в кастрюле на плите и микроволновке? Узнаем сколько по времени варить перепелиные ...";"Сколько варить перепелиные яйца - CalcSoft.ru";"https://calcsoft.ru/skolko-varit-perepelinye-yaytsa";"Еще сравнительно недавно перепелиные яйца считались частью меню только весьма состоятельных людей. Сегодня они вполне доступны ..."
"DB5CEAA1-D92C-1536-07D4-149D81EF7017";"Как лечить шум в голове";;"HokgtY7Mizg";"Чем лечить шум в голове, как вылечить медикаментами ...";"http://izbavsa.ru/zdorove/kak-lechit-shum-golove";"Чем лечить шум в голове. Методы лечения неприятного симптома с помощью лекарственных препаратов и средств народной медицины.";"Шум в голове причины, лечение патологии | Азбука здоровья";"http://zdravotvet.ru/shum-v-golove-prichiny-lechenie-diagnostika/";"Шум в голове, причины, лечение заболеваний, которые могут вызывать подобный симптом. Диагностика и профилактика шума, звона в голове, ушах.";"Как лечить шум в ушах, гул в ушах, шум в ухе тиннитус ...";"https://bettertone.com.ua/tinnitus/";"Всё больше людей в наше время сталкиваются с таким неприятным явлением как шум в ушах. Учитывая это, следует рассмотреть виды шума в ушах и ..."
"8A601780-7D5A-6B54-971F-FD76B2BCE927";"Как снизить уровень креатинина в крови";;"kEL0OW1MNPw";"Понижение уровня креатинина в крови народными средствами ...";"http://www.1000listnik.ru/%25D0%25B1%25D0%25B5%25D0%25B7-%25D1%2580%25D1%2583%25D0%25B1%25D1%2580%25D0%25B8%25D0%25BA%25D0%25B8/kak-ponizit-kreatinin-v-krovi-narodnymi-sredstvami.html";"... уменьшить показатель креатинина и привести своё состояние в норму.";"Как снизить креатинин при почечной недостаточности?";"http://etopochki.ru/bolezni-pochek/inie/kak-snizit-kreatinin-pri-pochechnoj-nedostatochnosti.html";"Кроме того, в результатах анализа крови иногда отмечается ложное повышение по уровню креатинина. Это связано с увеличенным количеством  ...";"Как снизить креатинин в крови и что делать, если он повышен?";"http://www.womanway.ru/zdorove/doktor/kreatinin-v-krovi.html";"Уже через месяц уровень креатинина в крови полностью нормализуется. Чередуйте работу ..."
"2699D8B0-C91E-98D2-EB30-0773B218CF6A";"Как избавиться от зуда";;"FmaZ5AF497c";"Как избавиться от зуда тела в домашних условиях: 10 способов";"http://domashniy-doc.ru/krasota-i-zdorove/uxod-za-telom/kak-izbavitsya-ot-zuda-tela-v-domashnix-usloviyax-10-sposobov.html";"Исключая тяжелые заболевания, которые требуют хирургического вмешательства, избавится от зуда тела возможно и в домашних условиях. Для этого ...";"Как избавиться от зуда народными средствами - AstroMeridian.ru";"http://www.astromeridian.ru/medicina/narodnoe_sredstvo_kak_izbavitsja_ot_zuda.html";"Зуд и повреждение кожного покрова могут быть вызваны разными причинами: от обычных ушибов до аллергической реакции на что-либо. Причину ...";"6 быстрых способов снять зуд - Ла-Кри";"https://la-kry.ru/spravochnik/zud/6-sposobov-snyat-zud/";"Что такое зуд тела и головы, и как его навсегда вылечить, можно узнать из ... Чтобы избавиться от зуда на пару дней, воспользуйтесь овсянкой, но не ..."
"26E3BCDA-3E10-7B4B-1E4C-07A5F570E8D9";"Как лечить застуженную голову";;"jj8Qwte0Mas";"Продуло голову лечение антибиотиками - sovetydoktorov.ru";"http://sovetydoktorov.ru/lechenie-antibiotikami/produlo-golovu-lechenie-antibiotikami.html";"Застуженную голову лечить трудно. Лекарственные препараты необходимо согласовать с врачом. Но если продуло голову, то есть также очень много ...";"Продуло голову: симптомы и лечение - Почему болит голова?";"http://headache.su/produlo-golovu-simptomy-i-lechenie.html";"Как видите, симптомы застуженной головы разнообразны и носят общий характер.";"Как лечить застуженную голову | SAPHRIS (asenapine) - лечение ...";"http://www.saphris.ru/kak-lechit-zastuzhennuyu-golovu/";"24 мар 2017 ... Как лечить застуженную голову. Если вы обнаруживаете у себя сильную головную боль, ломота в теле, а также признаки сильного ..."
"EAEE93E4-83A2-EB40-FD30-4FF725CAF2C3";"Что делать, если очень сильно выпадают волосы";;"qM3W4Oj1wBc";"Очень сильно выпадают волосы! HELP! - Woman.ru";"http://www.woman.ru/beauty/hair/thread/3906412/";"29 июл 2009 ... Здравствуйте! у меня ОЧЕНЬ сильно выпадают волосы, уже ... делать процедуру 1≈2 раза в неделю, а если волосы сильно ослаблены, ...";"Сильно выпадают волосы: что делать: рецепты, советы, причины";"https://www.ko6e4ka.ru/silno-vypadayut-volosy-chto-delat.htm";"Что делать в этом случае, ты теперь знаешь. ... Если выпадают волосы, в первую ... Пей говорит пантовигар очень хороший или коли в ...";"Что делать, если волосы выпадают. Красота и здоровье";"https://medportal.ru/enc/krasota/hair/6/";"Что делать, если волосы выпадают. В норме у человека выпадает около 100 волос в день. Понять, нужно ли бить тревогу, поможет простой способ."
"D60FA9FB-00E7-C1E7-CA5E-A36110CA0BAC";"Как использовать аппликатор Кузнецова";;"Q2S5X6Un_rg";"Как пользоваться аппликатором Кузнецова? - Здоровушка";"http://zdorovushka-rf.ru/blogs/articles/kak-polzovatsya-applikatorom-kuznetsov";"Аппликатор Кузнецова сегодня выпускается в различных удобных ... нельзя использовать, а задействовать его необходимо лишь после того, как острая  ...";"Как пользоваться аппликатором Кузнецова: принцип работы ...";"https://rodinkam.com/preparatyi/instruktsiya-po-primeneniyu-applikatora-kuznetsova";"Советы по использованию аппликатора Кузнецова: как работает устройство, как правильно применять аппликатор, что думают покупатели об ...";"Аппликатор Кузнецова при остеохондрозе: применение ...";"http://sustavzdorov.ru/osteohondroz/applikator-kuznecova.html";"Аппликатор Кузнецова при остеохондрозе шейного, грудного и ... При остеохондрозе грудного отдела позвоночника лучше использовать коврик, на ..."
"503E8A29-AB85-AF47-8F8E-0E777E9B3D87";"Как облегчить боль при ожоге";;"mjtpPJibwaE";"Как снять боль при ожоге? - Сайт для девушек - koketka.by";"http://koketka.by/new/zhenskoe-zdorove/212-kak-snyat-bol-pri-ozhoge";"Из этой статьи можно узнать, как снять боль при ожоге с помощью аптечных и народных ... При ожоге второй степени повреждён эпидермис и дерма.";"Как обезболить ожог в домашних условиях - PerelomaNet.ru";"https://perelomanet.ru/ozhogi/kak-snyat-bol-ot-ozhoga.html";"Обезболить ожог можно с помощью холодной проточной воды, а так же аптечных ... Как и чем снять боль при ожоге в домашних условиях. Содержание.";"Как снять боль при ожоге в домашних условиях - HowToGetRid.ru";"http://howtogetrid.ru/kak-snyat-bol-pri-ozhoge-v-domashnix-usloviyax/";"Виды и степени ожогов. Первая помощь при ожоге. Можно ли прикладывать лед на обожженный участок кожи? Народные средства для снятия боли при  ..."
"5D901C6B-980D-87D6-018D-E5E2384F78D0";"Как снять опухоль колена";;"OHY7D8PZLaA";"Как снять отек при артрозе коленного сустава: рекомендации";"https://artroz-help.ru/gonartroz/kak-snjat-otek-pri-artroze-kolennogo-sustava";"Какими методами можно снять боль и отек, который возникает при артрозе и снижает амплитуду движений коленного сустава. Медикаменты и ...";"Лечение опухоли в колене народными средствами";"http://opuholi.org/dobrokachestvennaya-opuxol/prochie-opuholi/opuhol-v-kolene.html";"Опухоль колена – это, скорее, не диагноз, а причина какого-либо заболевания. ... Прежде всего, нужно попытаться снять отечность и болевой синдром.";"Как снять отек колена :: JustLady.ru - территория женских ...";"http://www.justlady.ru/articles-150691-kak-snyat-otek-kolena";"Поэтому если вы обнаружили у себя даже еле заметную опухоль, это повод для обращения к. ... Как снять отек колена. Lenutsa, автор JustLady."
"01D45124-7705-ECFB-93E6-DB78838B728E";"Как избавиться от тошноты";;"PKnGpWUI_-o";"Как избавиться от тошноты и остановить рвоту. Что помогает от ...";"https://www.7ya.ru/article/Kak-izbavitsya-ot-toshnoty-i-ostanovit-rvotu/";"Причины тошноты и рвоты. Что помогает от тошноты. Чем лечить рвоту.";"Как быстро избавиться от тошноты в домашних условиях ...";"http://medicalru.ru/sovety/kak-bystro-izbavitsya-ot-toshnoty-v-domashnix-usloviyax-nesolko-sovetov.html";"Думаю, что каждый человек знает, что такое тошнота. Если вам нужно срочно избавиться от тошноты, наш портал medicalru.ru даст вам несколько  ...";"Как избавиться от приступа сильной тошноты?";"https://brjunetka.ru/kak-mozhno-izbavitsya-ot-toshnotyi/";"Тошнота – это крайне неприятный симптом, который порой мешает жить и делать привычные дела. А как можно от него избавиться? Что для этого ..."
"043A09F1-B77C-DDBF-52C1-14471F60A26F";"Как принимать валерианку";;"AYD1U6KRbIw";"Как пить валерьянку :: JustLady.ru - территория женских разговоров";"http://www.justlady.ru/articles-144696-kak-pit-valeryanku";"Если вы чрезмерно напряжены, возбуждены или страдаете бессонницей, принимайте валерьянку три раза в день за двадцать минут до приема пищи.";"Валериана в таблетках, как применять Валериану | BODYSTATUS";"http://bodystatus.ru/valeriana-ekstrakt-v-tabletkax-instrukciya-po-primeneniyu/";"29 мар 2017 ... Как правильно пить валерьянку? Для успокоения нервной системы и нормализации сна назначается валериана экстракт в таблетках.";"Как правильно пить валерьянку: ответы на все вопросы - Delafe.ru";"http://delafe.ru/page/kak-pravilno-pit-valeryanku-otvety-na-vse-voprosy";"Мы расскажем вам, как правильно пить валерьянку и как не переусердствовать с ее приемом. Врачи назначают употреблять этот препарат при мигрени, ..."
"90219D5C-35ED-769B-E587-8ACE7BD36CB6";"Как приготовить овсяный отвар";;"1bjMs7OA9qw";"Овсяный отвар — рецепт, как приготовить в домашних условиях";"https://domashniy.ru/zdorovoe-pitanie-i-diety/pravila_prigotovleniya_ovsyanogo_otvara_re15/";"Своеобразный овсяный кисель помогает наладить пищеварение и перистальтику, а также снизить уровень сахара в крови. Для того, чтобы отвар был ...";"Овсяный отвар - Со Вкусом";"https://sovkusom.ru/ovsyanyi-otvar/";"Овсяный отвар для похудения, очистки печени и сосудов. ... несколько раз в день, а «Со Вкусом» поведает вам несколько рецептов его приготовления.";"Отвар овса - лечебные свойства и противопоказания";"https://100trav.su/narodnye-sredstva-lecheniya-boleznej/otvar-ovsa-kak-prigotovit-lechenie-i-poleznye-svojstva.html";"Применение и противопоказания овсяного отвара. ... Простота приготовления, универсальность показаний, а так же дешевизна ингредиентов сделали ..."
