GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
"FA363C12-B175-F186-17A8-3A65DFB18966";"Как использовать гель для ногтей";;"HVETYFF-lTg";"Уф гель для ногтей - что это: как пользоваться в домашних ...";"http://www.blog-o-krasote.ru/post-uf_gel_dlya_nogteyi_kak_polzovatsya.html";"Уф-гель для ногтей — как пользоваться правильно. Аккуратно отточенные и покрытые лаком ноготки всегда привлекают внимание окружающих.";"Покрытие ногтей гелем, гель-лаком. Фото и видео технологии ...";"http://www.wday.ru/krasota-zdorovie/sok/instruktsiya-po-pokryitiyu-nogtey-gel-lakom/";"Покрыть ногти гель-лаком можно в салоне, где профессионал все ... Используя бафф, обработать ногтевую пластину, снимая верхний блестящий слой.";"Как использовать гель для ногтей правильно - Woman's Day";"http://www.wday.ru/krasota-zdorovie/sok/kak-pravilno-ispolzovat-gel-dlya-nogtey-v-domashnih-usloviyah/";"20 фев 2017 ... Преимущества гелиевых ногтей и технология нанесения материала. Какой гель для ногтей лучше использовать для наращивания."
"DB3FF102-EC0E-35A6-4B98-8F5AD64571B5";"Как сделать френч блестками";;"WFPuB31JEcE";"Френч с блестками: 19 фото идей с белым, розовым и красным ...";"http://makeup.ru/article/french-s-blestkami-20-idej";"7 ноя 2017 ... Пошаговая инструкция как сделать красивый френч с блестками в 2-х вариантах! Идеи розового, белого, черного, синего, красного ...";"Френч с блестками - WomanAdvice.ru";"https://womanadvice.ru/french-s-blestkami";"Френч с блестками можно сделать как по какому-либо поводу, та и просто так . Действительно, роскошные блестящие ногти станут украшением любого ...";"Френч с блестками - популярные варианты блестящего ...";"https://sovets.net/18372-french-s-blestkami.html";"Френч с блестками – элегантное оформление классики, подходящее под любой ... Например, для торжества можно сделать французский нейл- дизайн, ..."
"054B52B6-6646-B90F-473B-C833F3463AD9";"Как можно красиво накрасить ногти в 2018 году";;"NBCnzj4R_4M";"Идеи маникюра 2018 фото - Мир Красоты";"http://mir-krasotyi.ru/idei-manikyura-2018-foto/";"Маникюр в 2018 году может быть оформлен самыми различными способами . При этом ... 2018 год. Также можно выбрать красный цвет и его оттенки, к которым относятся: ... Цвет нежный, красивый, праздничный. Его можно ...";"Модный маникюр на Новый год 2018 - 50 фото, цвета, тенденции";"https://spassk-woman.ru/manikyur-na-novyj-god-2018.html";"9 янв 2018 ... Среди основных тенденций 2018 года можно выделить три главных ... Как красить ногти в 2018 году: 15 трендовых вариантов ... В этой подборке представлены самые красивые варианты на все случаи жизни.";"Как красить ногти в 2018 году: 15 трендовых вариантов - Красотка";"https://krasotka.cc/krasota/manikyur/kak-krasit-nogti-v-2018-godu-15-trendovyh-variantov";"19 окт 2017 ... В 2018 году технологии продвинулись дальше, и теперь матовый лак имеет разные эффекты. ... Но и среди лаков для ногтей можно найти подходящий эффект с красивым бликом ... Особенно красиво на ногтях смотрится тон белого золота ... Смотри, как сегодня модно красить глаза и губы."
"CB56C326-DC43-A7E0-9104-BD638B20B6BC";"Что нужно для наращивания ногтей акрилом в домашних условиях";;"4_MkHeDeYi8";"Особенности наращивания ногтей в домашних условиях";"https://tutknow.ru/beauty/1765-osobennosti-naraschivaniya-nogtey-v-domashnih-usloviyah.html";"Что нужно для наращивания ногтей акрилом. Вам понадобятся такие материалы: праймер;; подпраймер (обезжириватель);";"Наращивание ногтей акрилом в домашних условиях";"http://www.blog-o-krasote.ru/post-kak_narashhivat_nogti_akrilom.html";"Наращивание ногтей акрилом дома - пошаговая инструкция с фото ... Маникюр и Педикюр; Наращивание ногтей акрилом в домашних условиях ... Что нужно для наращивания акрилом – список материалов и инструментов:.";"Список препаратов и инструментов, необходимых для ...";"http://21centurywoman.ru/spisok-preparatov-i-instrumentov-neobhodimyih-dlya-narashhivaniya-nogtey-akrilom/";"список материалов для наращивания ногтей ... Если же нет, то нужно купить специальное средство для покрытия акриловых ногтей, либо использовать для этих целей прозрачный лак. ... Укрепление ногтей в домашних условиях  ..."
"B4CDC83A-1043-DD5D-FDDC-359F010E3945";"Как восстановить ногтевую пластину";;"dnXhV2KIkwY";"10 способов восстановить ногти после шеллака - Красота - Леди ...";"https://lady.mail.ru/article/482698-10-sposobov-vosstanovit-nogti-posle-shellaka/";"11 июл 2014 ... Ru» решила выяснить, как восстановить ногти после шеллака. ... Ее суть заключается во втирании в ногтевую пластину специального ...";"Спасти ногти после шеллака: это просто! | Журнал Cosmopolitan";"https://www.cosmo.ru/beauty/nails/spasti-nogti-posle-shellaka-eto-prosto/";"15 июл 2018 ... Мы разобрались, почему так происходит, и как вернуть ногтям ... слой ногтевой пластины при помощи ультрафиолетового света.";"Как восстановить ногти после геля и лака? Советы от ...";"https://www.cosmo.ru/beauty/nails/kak-vosstanovit-nogti-posle-stoykogo-manikyura/";"24 фев 2015 ... Вместе с гель-лаком сдирается и верхний слой ногтевой пластины, а последствие, которое ты получаешь, тонкие ногти, которые ..."
"1F61B617-1D1A-6DCE-0680-3DC802B9DB89";"Почему быстро растут ногти";;"ZIRlnmHRCgE";"Как быстро растут ногти? | Вечные вопросы | Вопрос-Ответ ...";"http://www.aif.ru/dontknows/eternal/kak_bystro_rastut_nogti";"26 фев 2017 ... В среднем человеческий ноготь растет на 0,5-1,2 мм в неделю. Полное обновление пластины происходит примерно за полгода.";"Ногти стали расти быстрее - Комсомольская правда";"https://www.kp.ru/daily/24359.5/545472/";"14 сен 2009 ... У мужчин ногти растут быстрее, чем у женщин. Летом скорость роста ногтей увеличивается, зимой и вообще на холоде - замедляется.";"Ответы Mail.Ru: С чем может быть связано что у меня стали быстро ...";"https://otvet.mail.ru/question/88911301";"1 июл 2015 ... У меня вдруг начали быстро расти ногти и волосы. Не пойму с чем это связано? Это плохо? Я ногти не отррщиваю, поэтому для меня это проблема ."
"632A35E9-1C14-893A-AB2D-3A76E797ADC9";"Как наносить блёстки на гель";;"WMPk9GPxzNQ";"Как правильно нанести блестки на гель-лак и что для этого нужно";"http://nogtipro.com/shellak/kak-nanesti-blestki-na-gel-lak/";"Использование блесток делает маникюр торжественным и ярким. О том, как нужно правильно наносить блестки на гель-лак в дополнение к дизайну ...";"Как наносить блестки на гель-лак (47 фото): как правильно ...";"http://wlooks.ru/lak/dlya-nogtej/kak-nanosit-blestki/";"Наносить блестки на гель-лак нужно со знанием дела. Как правильно нанести и сделать оригинальный дизайн с блестками? Какие советы дают ...";"Как наносить блестки на гель лак, советы профессионалов";"http://vseonogtyah.ru/narashhivanie/kak-nanosit-blestki-na-gel-lak.html";"Чтобы придать яркости своим ручкам можно пользоваться блестками. Давайте разберемся как наносить блестки на гель лак."
"C240B1AF-D760-95A1-B0BE-6BD4806DEB3C";"Как сделать ногти белыми";;"TE7iiO0Z_Po";"Как ногти сделать белыми";"https://nogot.net/story/kak-nogti-sdelat-belymi";"Использование цветных лаков, а также другие причины могут привести к пожелтению ногтевых пластин. Как исправить ситуацию и как ногти сделать  ...";"Как ногти сделать белыми, отбеливаем ногти в домашних ...";"https://empiremam.com/sekrety-krastoty/ukhod-za-nogtyami/kak-nogti-sdelat-belymi.html";"Как ногти сделать белыми 31.10.2014 Уход за ногтями Наверное все знают о том, как должны выглядеть ухоженные и красивые ногти. На них не ...";"Как сделать ногти белыми как сделать бело под ногтями Уход за ...";"https://www.kakprosto.ru/kak-15327-kak-sdelat-nogti-belymi";"Как сделать ногти. Иногда ногти теряют свой естественный цвет и желтеют, или покрываются желтыми пятнами."
"89DF9D4C-6B41-B52B-2981-E30F2384B255";"Как делать коррекцию нарощенных ногтей гелем";;"Q6390a7aBL8";"Коррекция ногтей - как делать в домашних условиях для ...";"https://sovets.net/9860-korrektsiya-nogtey.html";"Как делать коррекцию гелем и лак-гелем для начинающих с видео. Главная Красота ... Сколько раз можно делать коррекцию нарощенных ногтей. Срок ...";"Как сделать коррекцию гелевых ногтей? Пошаговая инструкция";"https://dljatela.ru/ukhod-za-nogtyami/korekcija";"Основным материалом для наращивания ногтей по-прежнему остается гель. Коррекция гелевых ногтей – это важный этап в моделировании и ...";"Коррекция гелевых ногтей и ее разновидности, а также ...";"http://nogtipro.com/narashivanie/korrekcija-gelevyh-nogtej/";"Коррекция нарощенных ногтей гелем производится по-разному, в зависимости от состояния ... Как делать коррекцию гель-лака: пошаговая инструкция."
"74AD3695-B7C7-820F-5421-D36C93C231F2";"Почему ногти ребристые";;"f0LGtBN8djU";"Ребристые ногти: причины и способы устранения проблемы";"https://mjusli.ru/zhenskoe_zdorove/other/rebristye-nogti-na-rukax";"Такое явление, как ребристые ногти на руках и ногах хотя бы раз в жизни беспокоило практически каждого человека. Справиться с этой проблемой ...";"Ребристые ногти на руках: причины и способы лечения";"http://uchodzatelom.ru/uhod-za-telom/183-rebristye-nogti-na-rukah.html";"Если ваши ногти на руках неровные, ребристые, это может быть признаком заболевания -проблем с органами дыхания, щитовидной железой или ...";"Ребристые ногти на руках: причины, фото - SoinPeau.ru";"http://soinpeau.ru/kosmetika/dekorativnaya/lak/rebristye-nogti-na-rukax-prichiny.html";"Ребристые ногти на руках: причины. Ребристость на ногтях может появляться по разным причинам. Важно знать, почему это происходит. Чаще других ..."
"B4CC3D5D-49B7-B668-16D0-94FE39F60114";"Как сделать ровный френч";;"vK6bQq4pOYE";"Как научиться делать ровный френч на гель лаке - Etogel.ru";"http://etogel.ru/%25D0%25BA%25D0%25B0%25D0%25BA-%25D0%25BD%25D0%25B0%25D1%2583%25D1%2587%25D0%25B8%25D1%2582%25D1%258C%25D1%2581%25D1%258F-%25D0%25B4%25D0%25B5%25D0%25BB%25D0%25B0%25D1%2582%25D1%258C-%25D1%2580%25D0%25BE%25D0%25B2%25D0%25BD%25D1%258B%25D0%25B9-%25D1%2584%25D1%2580%25D0%25B5%25D0%25BD%25D1%2587-%25D0%25BD%25D0%25B0-%25D0%25B3/";"Французский маникюр выглядит изысканно, красиво и привлекательно, но его изюминка в том, чтобы все было сделано идеально ровно. В салоне за ...";"Как сделать ровный френч :: JustLady.ru - территория женских ...";"http://www.justlady.ru/articles-146182-kak-sdelat-rovnyy-french";"И это очень большое заблуждение, ведь научиться делать френч ... Теперь нам нужно сделать ровную и аккуратную линию улыбки, рисуем ее белым ...";"Как сделать линию улыбки: френч-маникюр без полосок";"https://www.ko6e4ka.ru/sdelat-liniyu-ulybki-french.htm";"Для того чтобы сделать френч-маникюр в домашних условиях, надо запомнить главное требование: ... Как сделать ровный французский маникюр?"
"FADBC7BE-4B90-6DF7-26F3-D60732BD8EC1";"Как отрастить быстро длинные ногти";;"_PXGAwFtE4s";"Как отрастить быстро ногти за 2, 3, 5 дней, за ... - HeaClub.ru";"http://heaclub.ru/kak-otrastit-bystro-nogti-za-2-3-5-dnej-za-nedelyu-za-2-nedeli-mesyac-kak-otrastit-ukrepit-nogti-v-domashnih-usloviyah";"Чтобы ногти выросли как можно ... Быстро отрастить длинные ...";"7 советов как отрастить ногти в домашних условиях | I love tips";"http://ilovetips.ru/sovety-kak-otrastitj-nogti-v-domashnih-usloviyah/";"6 янв 2016 ... Длинные ногти всегда в моде и привлекают внимание ... Форму ногтям нужно придать, чтобы они быстро росли и не ломались.";"Как отрастить длинные ногти быстро за 2 или 5 дней? Секреты ...";"http://maskahair.ru/voshititelnyie-nogti-v-domashnih-usloviyah/";"Как быстро отрастить длинные ногти в домашних условиях? ... Вы узнайте, как отрастить длинные ногти, а также получите массу полезных советов о ..."
"5965CA16-3C38-96EB-8FA3-6EDA6EE285A3";"Как срезать кутикулу";;"2u9IUOS24Tk";"Кусачки для кутикулы. Как правильно обрезать кутикулу кусачками";"http://ami.in.ua/%25D0%25BA%25D1%2583%25D1%2581%25D0%25B0%25D1%2587%25D0%25BA%25D0%25B8-%25D0%25B4%25D0%25BB%25D1%258F-%25D0%25BA%25D1%2583%25D1%2582%25D0%25B8%25D0%25BA%25D1%2583%25D0%25BB%25D1%258B-3/";"Для чего в маникюре используются кусачки для кутикулы. Как выбрать хорошие кусачки и как проверить их заточку. как правильно обрезать кутикулу ...";"Как правильно убрать кутикулу в домашних условиях: правила и ...";"http://womansay.net/krasota/kak-udalit-kutikulu-v-domashnih-usloviyah.html";"14 фев 2016 ... А такая информация и вовсе приводит в тупик, ведь если кутикула так необходима, то зачем ее срезать? Неужели для красоты ...";"Кутикулы - Как правильно удалять кутикулы - - Женское мнение";"https://zhenskoe-mnenie.ru/themes/beauty/the-cuticle-is-what-it-is-installation-and-maintenance/";"5 апр 2016 ... Узнайте все о том как правильно удалять кутикулы и ухаживать за ... Затем можно легко отодвинуть или срезать лишнюю кожицу."
"6E874DD3-AA45-0558-F88B-D40E21D194CB";"Как рисовать лаком на ногтях в 2018 году";;"ZPGXHrDr13c";"Дизайн ногтей фото новинки 2018 (400 фото) и направления";"http://womenshealth.su/kosmetologiya/dizajn-nogtej-novinki-2016-300-foto/";"14 бер. 2018 - 6 хв - Автор відео Оксана Маляренко Сделаем простой маникюр 2018 дизайн ногтей для начинающих в стиле модной геометрии на ногтях. Этот дизайн ногтей гель лаками ...";"Дизайн маникюра на лето 2018 года: как сделать необычный ...";"https://hochu.ua/cat-beauty/nails/article-86217-dizayn-manikyura-na-leto-2018-zhivyie-tsvetyi-na-nogtyah/";"17 янв 2018 ... Лучшие рисунки на ногтях 2018 года смотрите в статье. ... красивые рисунки на ногтях, но большинство из них не знают — с чего начать, как рисовать. ... Такой маникюр лучше изображать на светлом оттенке лака.";"Рисунки на ногтях 2018: 32 сногсшибательные идеи - Красотка";"https://krasotka.cc/krasota/manikyur/risunki-na-nogtyah-2018-32-snogsshibatelnye-idei";"В статье приведены фото новинки 2018 года рисунков на ногтях и ..... Даже начинающий сможет нарисовать лаком цветочный принт: красную розу или  ..."
"1B38D419-B0C6-D7E0-88C1-9C63F72FF67D";"Как удлинить короткие ногти";;"cKyJkmSMQYo";"Как без наращивания удлинить короткое ногти - Умные советы";"http://umnye-sovety.ru/kak-bez-narashhivaniya-udlinit-korotkoe-nogti/";"Самоуверенные и энергичные — именно так характеризуют женщин с короткими ногтями. Но далеко не всем ...";"Как визуально увеличить длину ногтей: интересные идеи";"https://women-tusovka.ru/kak-vizualno-uvelichit-dlinu-nogtej.html";"28 авг 2014 ... Визуальное удлинение ногтей. Как визуально удлинить короткие ногти? Если говорить о цвете, то лучше использовать насыщенные, ...";"Визуальное удлинение ногтей - КрасоткаПро";"https://www.krasotkapro.ru/review/vizualnoe-udlinenie-nogtey/";"Чтобы визуально удлинить короткие ногти, применяем темные и красные лаки, а не ..."
"6E1E30B0-0003-2CAD-44AD-BA93F32A23E5";"Как сделать квадратные ногти";;"_TcoTtDBO38";"Как сделать квадратную форму ногтей: фото ... - HomeManicure.ru";"http://homemanicure.ru/design/kvadratnaya-forma-nogtej.html";"Квадратные ногти – идеальный вариант для девушек с тонкими и вытянутыми пальцами. Перед тем как сделать квадратную форму ногтей, ...";"Как сделать квадратную форму ногтей в домашних условиях ...";"http://idealnyi-manikur.ru/articles/manikyur/formy-nogtej/ponyatno-o-tom-kak-sdelat-kvadratnye-nogti-svoimi-silami.html";"17 мар 2017 ... Дабы снять все спорные моменты, сегодня мы поговорим о том, как правильно сделать квадратную форму ногтей. Естественно, что ...";"5 шагов, как сделать квадратные ногти :: All.Ozon";"http://all.ozon.ru/article-499-5-shagov-kak-sdelat-kvadratnye-nogti";"Чтобы сделать квадратные ногти, не обязательно обращаться за помощью к мастеру. Имея небольшие навыки по обработке ногтей и базовые ..."
"4C55FAF6-AE07-017F-1464-BFF3C73C4C8F";"Отбеливание ногтей в домашних условиях";;"qAOwNwbA3zQ";"Отбеливание ногтей в домашних условиях - Likar.Info";"http://www.likar.info/zdorovyie-volosyi-i-nogti/article-63549-otbelivanie-nogtej-v-domashnih-usloviyah/";"21 окт 2013 ... Красивые ногти – украшение современного человека. Случается так, что ногти желтеют. Почему? Как можно быстро избавиться от ...";"Как быстро отбелить ногти в домашних условиях | Блог Алёны ...";"http://narodnayamedicina.com/kak-bystro-otbelit-nogti-v-domashnikh-usloviyakh/";"14 авг 2015 ... Что, ты разве не знаешь, как быстро отбелить ногти в домашних условиях? Признаюсь честно, я раньше не задавалась этим вопросом.";"Отбеливание ногтей в домашних условиях | WMJ.ru";"https://www.wmj.ru/stil-zhizni/zdorove/otbelivanie-nogtey-v-domashnih-usloviyah.htm";"1 фев 2014 ... Отбеливание ногтей в домашних условиях отличается простотой и легкостью. Есть несколько не слишком сложных рецептов для ..."
"39D9FF94-2A81-8AF4-CD9A-5EB93F3A0CDF";"Лечение ломких ногтей";;"w0NGU8zQ9iw";"Ломкие ногти – причины, лечение и домашние процедуры";"https://polzavred.ru/lomkie-nogti-prichiny-i-lechenie.html";"4 дек 2017 ... Причины ломких ногтей кроются в неправильном питании и плохом уходе. Укрепить ногтевые пластины поможет лимон или оливковое ...";"Ломкие ногти на руках: почему ногти ломаются и как лечить";"https://evehealth.ru/lomkie-nogti-na-rukakh-chto-delat/";"Ломаются ногти на руках? Рассказываем об основных причинах и проверенных способах лечения ломких ногтей. Ногти станут красивыми и сильными ...";"Укрепление ногтей в домашних условиях. Народные средства.";"http://misseva.ru/nogti/ukreplenie-nogtej-v-domashnih-usloviyah-narodnye-sredstva.html";"Народные средства для укрепления ногтей. Ломкие ногти. Ломка ногтей. Лечение. Слабые, слоящиеся, тонкие, сухие ногти. Маски, компрессы ..."
"94595E08-6326-791D-F6FF-71141990B485";"Как вырастить ногти за день";;"O82BfhDhZZA";"Как отрастить ногти за 1 день - Modnaya.org";"http://modnaya.org/manikyur-i-pedikyur/3721-kak-otrastit-nogti-za-1-den.html";"Как отрастить ногти за 1 день? Содержание статьи. Длинные ногти за 1 день: способы; Домашние рецепты для роста ногтей; Как ухаживать за ногтями ...";"Как отрастить ногти за 1 день на 2 см в домашних условиях ...";"https://lady-blesk.ru/kak-otrastit-nogti-za-1-den-na-2-sm-v-domashnix-usloviyax/";"Красивые, длинные ногти всегда делают любую девушку ещё красивее. Как быстро отрастить ногти на руках, когда совсем нет времени ждать мы и ...";"Как отрастить ногти за 1 день в домашних условиях?";"https://anutkina.info/krasota/nogti/195-kak-otrastit-nogti-za-1-den-v-domashnikh-usloviyakh";"Если отрастить ногти за 1-2 дня невозможно, то нарастить легко всего за час. Ноготки, конечно, будут искусственные, зато длину и форму можно ..."
