GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
4436B1DB-B300-0C1F-5FA9-EE55E0D5125D;Сколько переваривается творог;skolko-perevarivaetsya-tvorog;a4EvhpDatAo;;;;;;;;;
A5BD62ED-D5FD-6D9B-8374-0ADC6A68A8F6;Основные ошибки худеющих;osnovnye-oshibki-hudeyuschih;YZTiS_PXmJg;;;;;;;;;
2C44240C-238B-20C1-7F11-09EB4E505ABA;Как лучше всего усваивается морковь;kak-luchshe-vsego-usvaivaetsya-morkov;;;;;;;;;;
19B16C3F-E258-C091-C4A1-418FEF8BD451;Что есть при язве двенадцатиперстной кишки;chto-est-pri-yazve-dvenadcatiperstnoy-kishki;;;;;;;;;;
65F874CC-1D9E-018B-9701-6331A44FD4D4;Как лечить язвочки на языке;kak-lechit-yazvochki-na-yazyke;ZVC4WlaTzeA;;;;;;;;;
4D9330FE-10E9-16F4-8D4F-E13C4435D03C;Диета во время беременности;dieta-vo-vremya-beremennosti;;;;;;;;;;
3AB24E75-7562-39DE-A36D-BCF4A44EB402;Можно ли употреблять картофель при диете;mozhno-li-upotreblyat-kartofel-pri-diete;;;;;;;;;;
FD31B345-7427-2C1D-B267-8EB12E552003;Польза жирной рыбы для сосудов;polza-zhirnoy-ryby-dlya-sosudov;;;;;;;;;;
E2F0BC03-F1C1-DDA6-20DA-003E232190F9;Какие продукты содержат много тестостерона;kakie-produkty-soderzhat-mnogo-testosterona;6UywroQDfYA]</li>  </ul>;;;;;;;;;
2A07712F-5270-EF21-DA5F-5C2BB3A8A83C;Как повысить белок у беременных;kak-povysit-belok-u-beremennyh;;;;;;;;;;
F197CE2F-4412-C7C0-CCFE-4D653F673426;Что такое дубильные вещества и как они влияют на организм;chto-takoe-dubilnye-veschestva-i-kak-oni-vliyayut-na-organizm;QLCJd82RcZg;;;;;;;;;
53B96253-3DE8-A476-8E16-8A7CFFB7A900;Как питаться в пост, чтобы похудеть;kak-pitatsya-v-post-chtoby-pohudet;;;;;;;;;;
5AF1D5EA-7A02-3FF6-2CCF-B4CF6E3163BE;Как похудеть на гречке: суть диеты;kak-pohudet-na-grechke---sut-diety;;;;;;;;;;
C54135FF-653A-4DA6-A803-F5DBDF5649C4;Как похудеть на 5 кг за неделю в домашних условиях;kak--pohudet-na-5-kg-za-nedelyu-v-domashnih-usloviyah-;M2uyFzFlxaA;;;;;;;;;
E79BDF2F-F2B7-31C1-B223-4C0AB1421E10;Имбирь с лимоном: 3 рецепта для здоровья и похудения;imbir-s-limonom-3-recepta-dlya-zdorovya-i-pohudeniya;;;;;;;;;;
73CD8C3B-1BBF-9746-31CA-D40F7C09F87F;Как похудеть за неделю на 7 кг без диет;kak-pohudet-za-nedelyu-na-7-kg-bez-diet;lh7ARaPZOys;;;;;;;;;
A78A4073-AF6C-1936-CE0F-A0AAA7073171;Корица для похудения: 10 эффективных напитков;korica-dlya-pohudeniya-10-effektivnyh-napitkov;;;;;;;;;;
21A0C881-05B9-BA89-9F10-34F4C926FBC2;Диета при повышенном холестерине;dieta-pri-povyshennom-holesterine;;;;;;;;;;
D17F93A9-0015-C943-3765-3A623E9A4833;Какие продукты разжижают кровь;kakie-produkty-razzhizhayut-krov;;;;;;;;;;
02CBADE3-522E-D2E5-9543-8749F49946A5;Как часто можно пить зеленый чай;kak-chasto-mozhno-pit-zelenyy-chay;;;;;;;;;;
A59BF84F-A281-EEAB-97C2-BDE64124A361;Как снизить уровень холестерина в крови;kak-snizit-uroven-holesterina-v-krovi;U9lcMqesciU;;;;;;;;;
A7261ADD-E94A-C706-8AC7-268315785951;Как быстро избавиться от жира на животе;kak-bystro-izbavitsya-ot-zhira-na-zhivote;#NAME?;;;;;;;;;
EA2C91E5-D487-5983-5E66-6E7E1D9D537A;Ягоды годжи: рецепты для похудения;yagody-godzhi-recepty-dlya-pohudeniya;6aBijWazfpI;;;;;;;;;
CB06447C-9E5E-E8E4-8220-CF66D73F3166;Каким должно быть питание при диабете;kakim-dolzhno-byt-pitanie-pri-diabete;;;;;;;;;;
8727B3DF-0943-5AC2-1626-35EE5FFC9A8C;Сколько в чашке кофе калорий и толстеют ли от кофе?;skolko-v-chashke-kofe-kaloriy-i-tolsteyut-li-ot-kofe;;;;;;;;;;
6658A15B-9712-CBF7-B10C-CB8023736EAF;Что можно есть после рвоты и тошноты;chto-mozhno-est-posle-rvoty-i-toshnoty;;;;;;;;;;
A42FEBA9-04EA-A383-800A-449C4C4F9943;Способы сбросить вес;sposoby-sbrosit-ves;;;;;;;;;;
B132EA9B-A16C-2145-1943-AE8692FDCD0E;Самые популярные и эффективные диеты;samye-populyarnye-i-effektivnye-diety;yXMIiCgxxHQ;;;;;;;;;
F7846886-BCFB-4ED4-57FD-80684BB5FECD;Сколько нужно употреблять белков, углеводов и жиров в день;skolko-nuzhno-upotreblyat-belkov-uglevodov-i-zhirov-v-den;;;;;;;;;;
067DDFB1-AE75-4D74-9230-BB8E35EB74DD;Какой хлеб можно есть кормящей маме;kakoy-hleb-mozhno-est-kormyaschey-mame;;;;;;;;;;
BAB50269-CCC8-B6AA-A125-355BA4392524;Какие фрукты можно есть при сахарном диабете;kakie-frukty-mozhno-est-pri-saharnom-diabete;;;;;;;;;;
7C910A8F-7F5D-263A-E18E-DE324C6536DE;Какие продукты полезны для восстановления печени при гепатите ?;kakie-produkty-polezny-dlya-vosstanovleniya-pecheni-pri-gepatite-;;;;;;;;;;
82244F37-ED59-87BA-6A6E-D4B6D25E52F2;Как провести домашнее очищение кишечника;kak-provesti-domashnee-ochischenie-kishechnika;;;;;;;;;;
592FB013-947C-1826-E21D-5DF4074DA3BA;Популярная американская диета;populyarnaya-amerikanskaya-dieta;GsFwtXMBiXU;;;;;;;;;
82DE7969-846D-807F-0082-F5381422953E;Как быстро похудеть в животе;kak-bystro-pohudet-v-zhivote;;;;;;;;;;
0FB89293-0B6B-570B-DA0F-B24745CFBF7F;Как похудеть с помощью алоэ вера;kak-pohudet-s-pomoschyu-aloe-vera;;;;;;;;;;
4A3BD379-DAF7-B5D7-FD95-736EBEFA3964;Как похудеть с помощью соды;kak-pohudet-s-pomoschyu-sody;;;;;;;;;;
2BB12D2F-FDBB-7DDD-7211-4F84DD28F4F4;Как сахарозаменители влияют на здоровье;kak-saharozameniteli-vliyayut-na-zdorove;;;;;;;;;;
901B7C4B-A31B-D6FC-DAB9-47F2380AA1AA;Как похудеть в ляжках;kak-pohudet-v-lyashkah;D-i6CUOS1fo;;;;;;;;;
950E0F18-B27D-B01E-64B1-A1447ABF7214;Какие продукты помогут набрать вес;kakie-produkty-pomogut-nabrat-ves;;;;;;;;;;
DC84ABC3-148D-6F44-DB8E-987DA6A39967;Как похудеть за неделю на 3 кг;kak-pohudet-za-nedelyu-na-3-kg-;;;;;;;;;;
EA0D394A-D8C5-D52E-FC76-CE8357A1E34C;Как похудеть на 2 кг за неделю;kak-pohudet-na-2-kg-za-nedelyu;;;;;;;;;;
1ED83C86-72AE-9219-8A12-178C07955750;Как правильно пить воду для снижения веса;kak-pravilno-pit-vodu-dlya-snizheniya-vesa;;;;;;;;;;
E97FFD2F-5DA1-4503-573C-9D3A09C7BF03;"Система &laquo;-60&raquo; для эффективного похудения";sistema--60-dlya-effektivnogo-pohudeniya;;;;;;;;;;
C0DDC458-D6E4-F5C3-5792-924CC9FE1613;Безопасные для фигуры творожные десерты;bezopasnye-dlya-figury-tvorozhnye-deserty;;;;;;;;;;
9E1D8D9C-7595-D6D1-F14E-7D7B6FFA1123;Какой алкоголь можно пить на диете;kakoy-alkogol-mozhno-pit-na-diete-;;;;;;;;;;
9407F145-46C9-7DB1-6EF0-9271B2D3EE05;Как пить соду, чтобы похудеть;kak-pit-sodu-chtoby-pohudet;h4ueUx8Luyw;;;;;;;;;
B68AF81D-9811-A38B-1943-2FB696A144F0;Как остановиться и не есть сладкого;kak-ostanovitsya-i-ne-est-sladkogo;;;;;;;;;;
4F11E604-83AE-A4E0-6264-601F6A706501;Вреден ли заменитель сахара в таблетках;vreden-li-zamenitel-sahara-v-tabletkah;;;;;;;;;;
9AFB03D5-3655-5DDF-A249-BB5BCBFC64DD;Как похудеть с левокарнитином?;kak-pohudet-s-levokarnitinom;ItWTVfCWWGk;;;;;;;;;
59D277EF-CABC-BFEE-E166-401E227C8F1D;Как за неделю похудеть на 3 кг;kak-za-nedelyu-pohudet-na-3-kg-;;;;;;;;;;
E5360960-5844-F32F-8BFB-FD932CAE078E;Как быстро похудеть на 5 кг за 5 дней;kak-bystro-pohudet-na-5-kg-za-5-dney;8zH7vboCgM4;;;;;;;;;
AF3F0C20-8205-6F2A-6B4A-B6EF4BA032EB;С чем пить кефир, чтобы похудеть;s-chem-pit-kefir-chtoby-pohudet;;;;;;;;;;
8D1DFA3E-A27C-F05F-EC13-DECB94395309;Цитрусовая диета;citrusovaya-dieta;;;;;;;;;;
EA3F8A1E-32DE-3487-F465-20158B7C6374;Как остановить обжорство;kak-ostanovit-obzhorstvo;;;;;;;;;;
0ABC49ED-909E-97C4-3693-04269E1C6651;Как убрать жир с живота: несколько советов;kak-ubrat-zhir-s-zhivota-neskolko-sovetov;;;;;;;;;;
5ED378DA-FA16-EAFC-FB27-F78B860CA776;Питьевое похудение;pitevoe-pohudenie;s1054T72FXY;;;;;;;;;
55046D62-C761-5A13-1E6C-CD849E583066;Кефирная диета;kefirnaya-dieta;;;;;;;;;;
8AE6B479-8DD3-A9A5-E939-938CD088EA52;Как похудеть с помощью сыроедения;kak-pohudet-s-pomoschyu-syroedeniya;;;;;;;;;;
64A81144-32E1-CC79-76F9-7FC043B15BE1;Заменители сладкого для желающих похудеть;zameniteli-sladkogo-dlya-zhelayuschih-pohudet;;;;;;;;;;
6B3B9FED-E2D4-2076-761F-C0FE6CB74544;Как избавиться от газов при беременности;kak-izbavitsya-ot-gazov-pri-beremennosti;mBzweoe3p-E;;;;;;;;;
4A47A6D4-23F0-82C0-C0D0-949E1EA3A09A;Как приготовить имбирную воду для похудения: очень простой рецепт;kak-prigotovit-imbirnuyu-vodu-dlya-pohudeniya-ochen-prostoy-recept-;;;;;;;;;;
9219C79C-528A-4E8D-EE2D-EB5D078D4D15;Чем полезна тыква при сахарном диабете;chem-polezna-tykva-pri-saharnom-diabete;EjPi22cfGc4;;;;;;;;;
597DCA61-6723-5938-A00D-2F91CB939093;Как питаться по группе крови;kak-pitatsya-po-gruppe-krovi;;;;;;;;;;
65F19F84-6D48-D674-46EB-68B0711437FB;Какие продукты полезны для голоса;kakie-produkty-polezny-dlya-golosa;umV-9X-qGao ]</li>  </ul>;;;;;;;;;
7B47DA53-1C99-E42E-C9FA-667899D001FE;Персиковая диета;persikovaya-dieta;Z1Ap18bAd04;;;;;;;;;
EB74AF39-B270-F042-B75B-08BC47F25BE0;Как похудеть на 20 кг дома за месяц;kak-pohudet-na-20-kg-doma-za-mesyac;;;;;;;;;;
6A5607BB-A129-BCC5-B7CA-521E8B847CB1;Диета при панкреатите;dieta-pri-pankreatite;;;;;;;;;;
CF0EBEDC-EDEB-B824-BF16-4D30443297FE;Лунная диета;lunnaya-dieta;;;;;;;;;;
825D7D54-5F42-7C7F-D61D-B1DBC65F01AC;Что нельзя есть после отбеливания зубов;chto-nelzya-est-posle-otbelivaniya-zubov;;;;;;;;;;
E8BDDC75-2AD9-BDC3-CC07-6ABAAA3F9785;Как убрать живот девочке-подростку;kak-ubrat-zhivot-devochke-podrostku;NyU1vG4dFLg;;;;;;;;;
1DFEC8FA-BEA6-C9A3-2A37-39071E792A78;Что способствует усвоению железа;chto-sposobstvuet-usvoeniyu-zheleza;;;;;;;;;;
6624F5F5-6DF1-4818-133A-3ACFD4B2C30E;Три продукта, от которых растет живот;tri-produkta-ot-kotoryh-rastet-zhivot;;;;;;;;;;
E98B396F-D48F-73EF-769B-AE8E4A5A24EB;Как питаться при повышенном уровне сахара в крови;kak-pitatsya-pri-povyshennom-urovne-sahara-v-krovi;;;;;;;;;;
2D6E5874-6F1D-4B96-E1D9-735D1ED88811;Экспресс-похудение в домашних условиях: действенные способы, их плюсы и минусы;ekspress-pohudenie-v-domashnih-usloviyah-deystvennye-sposoby-ih-plyusy-i-minusy;;;;;;;;;;
122D53C2-D6AB-9368-AA91-697ADC2D7239;Отзывы о гречневой диете;otzyvy-o-grechnevoy-diete;hiEJbzNF2a0;;;;;;;;;
9C74FFDA-5754-5217-5A3B-67BE7F7E00EB;Как убрать живот и бока за короткий срок;kak-ubrat-zhivot-i-boka-za-korotkiy-srok;nnHaV6RihUM;;;;;;;;;
BB481621-7E66-BF3A-3449-34B3445ED8F2;Доказано, завтрак не влияет на потерю веса;dokazano-zavtrak-ne-vliyaet-na-poteryu-vesa;;;;;;;;;;
861F6A41-B9AD-0415-C7DC-4456CAC25529;Как похудеть за неделю без диет;kak-pohudet-za-nedelyu-bez-diet;;;;;;;;;;
01075E69-8BDE-4348-B200-4C0FF8A17940;Легкий способ сбросить вес;legkiy-sposob-sbrosit-ves;;;;;;;;;;
8E7A3F7E-F530-F1B9-BDD5-13B9F3D3238A;Как похудеть без диет: практические советы;kak-pohudet-bez-diet-prakticheskie-sovety;gbqbNM1GH0k;;;;;;;;;
F32AE039-CBF9-26A2-4108-F11B35314064;Как снизить потребность в сладостях;kak-snizit-potrebnost-v-sladostyah;ndqfxl46jDM;;;;;;;;;
B6BE9605-EB5D-C34E-23CD-07CA42904E92;Как нужно питаться при ожирении;kak-nuzhno-pitatsya-pri-ozhirenii;;;;;;;;;;
FCEB9CC6-BAB6-752D-389A-8113CE144170;Природные антибиотики;prirodnye-antibiotiki;;;;;;;;;;
B654970E-32D2-7437-6111-788F2E634A0D;Как похудеть в домашних условиях;kak-pohudet-v-domashnih-usloviyah;WkeiM_cDtvw;;;;;;;;;
D3D1B0CD-E33C-F021-B435-EDDD9E7522FA;Какие продукты питания помогают быстро набрать вес;kakie-produkty-pitaniya-pomogayut-bystro-nabrat-ves;;;;;;;;;;
A528E6B8-0160-5DDF-81C7-104C8E152430;Продукты питания, увеличивающие грудь;produkty-pitaniya-uvelichivayuschie-grud;;;;;;;;;;
542F92D8-3CD7-95F0-F06F-EA091FB8307D;Как похудеть к лету быстро в домашних условиях;kak-pohudet-k-letu-bystro-v-domashnih-usloviyah;;;;;;;;;;
8861D481-EE2D-8067-06F1-CBEB0CE68791;Что можно есть при гастрите или язве;chto-mozhno-est-pri-gastrite-ili-yazve-;;;;;;;;;;
5A81DFA9-76DF-CE82-27A1-C6B3C95146CB;6 полезных привычек, которые помогут легко похудеть;shest-poleznyh-privychek-kotorye-pomogut--legko-pohudet;;;;;;;;;;
413E34A0-1614-2E0F-32FC-DA1B869DFD7C;Что нельзя есть при варикозе;chto-nelzya-est-pri-varikoze;;;;;;;;;;
23E3FCBA-93A3-96C4-AE46-6F4F27A7E8BF;Коктейли для похудения;kokteyli-dlya-pohudeniya;;;;;;;;;;
9E88E0E6-F107-7CC0-8598-6976C6E9FD3E;Питание после удаления желчного пузыря: что можно, а что нельзя;pitanie-posle-udaleniya-zhelchnogo-puzyrya-chto-mozhno-a-chto-nelzya;;;;;;;;;;
15343D29-7AF3-AD24-2B06-68C3162C62F6;Как удалить шипицу;kak-udalit-shipicu;;;;;;;;;;
DC295B06-A0A0-A6B0-161C-2F0963864444;Гречневая диета: самый быстрый способ похудеть;grechnevaya-dieta-samyy-bystryy-sposob-pohudet;;;;;;;;;;
799853D4-C12D-DCE5-415F-FBF69DDBF6F0;Как восстановить желудок;kak-vosstanovit-zheludok;;;;;;;;;;
D1B4DE8A-0030-BEE9-D6F9-9C0681D3C290;Какие овощи и фрукты можно есть при сахарном диабете;kakie-ovoschi-i-frukty-mozhno-est-pri-saharnom-diabete;;;;;;;;;;
8FD38F4B-F004-6D64-E8C4-300D6785BBD0;Как быстро похудеть на 10 кг в домашних условиях;kak-bystro-pohudet-na-10-kg-v-domashnih-usloviyah;;;;;;;;;;
CFD04E45-F053-8166-72BF-DF79ED78CC5A;Кефирные коктейли для похудения: 10 рецептов;kefirnye-kokteyli-dlya-pohudeniya-10-receptov;;;;;;;;;;
7A3F694E-BA16-18D3-5C55-AC240A522AF3;Какой нужен перерыв между приемами пищи;kakoy-nuzhen-pereryv-mezhdu-priemami-pischi;;;;;;;;;;
0FB38DE1-EA11-DE41-9A0B-0C7EBD7D38CB;Как нормализовать работу желудка;kak-normalizovat-rabotu-zheludka;bq3WaBCApLM;;;;;;;;;
49DF8A78-7982-D377-4E9B-C0649A3F5026;Правильное питание - лучшая замена диетам;pravilnoe-pitanie---luchshaya-zamena-dietam;;;;;;;;;;
42CB3A98-1221-227E-54D8-EC641AEB328D;Как правильно употреблять льняную кашу для похудения;kak-pravilno-upotreblyat-lnyanuyu-kashu-dlya-pohudeniya;;;;;;;;;;
28E9B963-7BC1-E469-B50F-E464EDFC4176;Как пить льняное масло для похудения;kak-pit-lnyanoe-maslo-dlya-pohudeniya;n8IuVT3Ff20;;;;;;;;;
D1D13884-3B44-5B37-C2D8-FE42E81112C7;Какие продукты нельзя употреблять при гипертонии;kakie-produkty-nelzya-upotreblyat-pri-gipertonii;;;;;;;;;;
AB9719F7-E07C-A076-FD91-356C8AD6DB43;Диета для профилактики демиелинизации;dieta-dlya-profilaktiki-demielinizacii;;;;;;;;;;
9407B001-8080-8A19-E875-D06BD30653BE;Что делать, если постоянно хочется есть;chto-delat-esli-postoyanno-hochetsya-est;;;;;;;;;;
9787A866-0ABA-5DD7-56A8-AAC827082192;Как похудеть за неделю с помощью яиц?;kak-pohudet-za-nedelyu-s-pomoschyu-yaic;ZmXJ1xcNnRw;;;;;;;;;
40674EE8-5585-5B53-4B3A-BFA94D57A010;Зеленый кофе и похудение - в чем секрет?;zelenyy-kofe-i-pohudenie---v-chem-sekret;;;;;;;;;;
91885813-FB5C-680B-BBA4-9FA6404AC8DE;Все тонкости раздельного питания;vse-tonkosti-razdelnogo-pitaniya;;;;;;;;;;
7C3EEF61-4292-4EFA-B801-B834B6426E93;Солнечная диета;solnechnaya-dieta;2hFPuahDAqM;;;;;;;;;
8075FC79-B0F5-7A28-7AC0-A38967183904;Как проводить разгрузочный день на картофеле;kak-provodit-razgruzochnyy-den-na-kartofele;;;;;;;;;;
F4551755-9F28-63BD-BFB6-41BB3EBC08EC;Диета на молочных продуктах;dieta-na-molochnyh-produktah;;;;;;;;;;
